community_id,size,n_paragraphs,n_documents,n_projects,project_spread,asset_top,asset_spread,commitment_share,junk_section_share,top_section,template_score,hazard_proximity,mean_cos_to_centroid,nearest_reference_id,nearest_reference_cos,verdict,verdict_reason,run_id,discovery_version
c0716,254,209,54,42,0.6,dpi,0.4717,0.0236,0.1535,Project Components,0.2635,0.2433,0.7124,REF068,0.5899,shortlist,,20260918T0131-7dd1a33,discover-1
c0806,253,240,64,52,0.7429,dpi,0.6738,0.0,0.1779,Project Components,0.3442,0.2771,0.7852,REF051,0.5072,shortlist,,20260918T0131-7dd1a33,discover-1
c0798,247,237,63,52,0.7429,access_connectivity,0.4981,0.0081,0.1215,Project Components,0.3224,0.2955,0.7471,REF046,0.6075,shortlist,,20260918T0131-7dd1a33,discover-1
c0369,244,142,27,22,0.3143,drm_ews,0.7534,0.0492,0.0943,Project Components,0.1165,0.3761,0.6301,REF056,0.5983,shortlist,,20260918T0131-7dd1a33,discover-1
c0453,244,194,72,59,0.8429,cybersecurity,0.8551,0.0492,0.2828,Project Components,0.3241,0.3157,0.6572,REF059,0.3783,shortlist,,20260918T0131-7dd1a33,discover-1
c0699,238,125,52,52,0.7429,access_connectivity,0.7572,0.0,0.0462,Sectoral and Institutional Context,0.2264,0.2228,0.6358,REF011,0.3968,shortlist,,20260918T0131-7dd1a33,discover-1
c0182,233,212,77,48,0.6857,dpi,0.6216,0.2232,0.1545,Project Components,0.3951,0.2629,0.7491,REF079,0.5321,shortlist,,20260918T0131-7dd1a33,discover-1
c0788,231,159,56,51,0.7286,mobile_towers,0.6102,0.0,0.0606,Sectoral and Institutional Context,0.2563,0.2056,0.6683,REF087,0.4646,shortlist,,20260918T0131-7dd1a33,discover-1
c0440,227,193,104,55,0.7857,access_connectivity,0.7241,0.0132,0.511,Project Status,0.4829,0.4077,0.6779,REF030,0.3553,shortlist,,20260918T0131-7dd1a33,discover-1
c0111,222,177,70,62,0.8857,access_connectivity,0.7544,0.009,0.3108,Implementation Arrangements and Support Plan,0.2973,0.3812,0.62,REF002,0.3119,shortlist,,20260918T0131-7dd1a33,discover-1
