variant,package_key,package_id,project_id,description_lang,category,status,resolution,asset_class,group,term_len
match_key,P160766|TZ-MCIT-254781-CW-RFB,TZ-MCIT-254781-CW-RFB,P160766,en,works,cancelled,unresolved,,,0
clean,P160766|TZ-MCIT-254784-CW-RFB,TZ-MCIT-254784-CW-RFB,P160766,en,works,cancelled,unresolved,,,
deglued,P160766|TZ-MCIT-254784-CW-RFB,TZ-MCIT-254784-CW-RFB,P160766,en,works,cancelled,unresolved,,,
match_key,P160766|TZ-MCIT-254784-CW-RFB,TZ-MCIT-254784-CW-RFB,P160766,en,works,cancelled,unresolved,,,0
clean,P160766|TZ-MCIT-254785-CW-RFB,TZ-MCIT-254785-CW-RFB,P160766,en,works,cancelled,unresolved,,,
deglued,P160766|TZ-MCIT-254785-CW-RFB,TZ-MCIT-254785-CW-RFB,P160766,en,works,cancelled,unresolved,,,
match_key,P160766|TZ-MCIT-254785-CW-RFB,TZ-MCIT-254785-CW-RFB,P160766,en,works,cancelled,unresolved,,,0
clean,P160766|TZ-MCIT-254787-GO-RFB,TZ-MCIT-254787-GO-RFB,P160766,en,goods,cancelled,coarse,,telecom,
deglued,P160766|TZ-MCIT-254787-GO-RFB,TZ-MCIT-254787-GO-RFB,P160766,en,goods,cancelled,coarse,,telecom,
match_key,P160766|TZ-MCIT-254787-GO-RFB,TZ-MCIT-254787-GO-RFB,P160766,en,goods,cancelled,fine,dpi,platform,3
clean,P160766|TZ-MCIT-254797-GO-RFB,TZ-MCIT-254797-GO-RFB,P160766,en,goods,cancelled,coarse,,telecom,
deglued,P160766|TZ-MCIT-254797-GO-RFB,TZ-MCIT-254797-GO-RFB,P160766,en,goods,cancelled,coarse,,telecom,
match_key,P160766|TZ-MCIT-254797-GO-RFB,TZ-MCIT-254797-GO-RFB,P160766,en,goods,cancelled,fine,dpi,platform,3
clean,P160766|TZ-MCIT-254799-GO-RFB,TZ-MCIT-254799-GO-RFB,P160766,en,goods,cancelled,coarse,,telecom,
deglued,P160766|TZ-MCIT-254799-GO-RFB,TZ-MCIT-254799-GO-RFB,P160766,en,goods,cancelled,coarse,,telecom,
