fetch_id,source,endpoint,query_params,fetched_at,record_count,response_sha256
c8973e1d8660855a,awards,https://search.worldbank.org/api/contractdata,format=json&rows=500&os=0&projectid=P508383,2026-09-15T22:06:10Z,13,5f2b08796633d3d018b1d1cc3577893791b8c42038753b62d6495e80320253d1
cac1409753b3eaff,documents,https://search.worldbank.org/api/v3/wds,format=json&rows=200&projectid=P180987&docty=Procurement+Plan&fl=id%2Cdocty%2Cdisplay_title%2Cdisclosure_date%2Ctxturl%2Cpdfurl%2Clang%2Cprojectid,2026-09-15T22:08:20Z,0,462a19458fc5ad746a413b0c57f3c855ff0037cd4b1771bec445c23397a5d6de
ccef9f3a89698625,documents,https://search.worldbank.org/api/v3/wds,format=json&rows=200&projectid=P176733&docty=Procurement+Plan&fl=id%2Cdocty%2Cdisplay_title%2Cdisclosure_date%2Ctxturl%2Cpdfurl%2Clang%2Cprojectid,2026-09-15T22:08:11Z,5,45cd9a6b8c80ac6bce14f4f7b9de084e37970acd93e57f08fc3fd9aea05787b7
ce6011a353d74b3b,awards,https://search.worldbank.org/api/contractdata,format=json&rows=500&os=0&projectid=P167543,2026-09-15T22:05:44Z,128,2643f163e3d1902f41476673f824b240ae49b213d7a8983b91f593d30ae82c24
ce65ae69c4548e48,awards,https://search.worldbank.org/api/contractdata,format=json&rows=500&os=0&projectid=P172350,2026-09-15T22:05:51Z,72,b591d19fa2e8bee06de2941bc46a32cac890abbf67685868e54600e09ec8cfda
ce800b1fd676bd79,awards,https://search.worldbank.org/api/contractdata,format=json&rows=500&os=0&projectid=P180987,2026-09-15T22:06:06Z,0,21fdc86d1384a15f9c683827dc684cacaaa8a916f4a41fbe7a7d5ccc24377f64
ceef3c56aa9b13c5,documents,https://search.worldbank.org/api/v3/wds,format=json&rows=200&projectid=P508317&docty=Procurement+Plan&fl=id%2Cdocty%2Cdisplay_title%2Cdisclosure_date%2Ctxturl%2Cpdfurl%2Clang%2Cprojectid,2026-09-15T22:08:27Z,0,462a19458fc5ad746a413b0c57f3c855ff0037cd4b1771bec445c23397a5d6de
cf605e2695ede6f4,documents,https://search.worldbank.org/api/v3/wds,format=json&rows=200&projectid=P176932&docty=Procurement+Plan&fl=id%2Cdocty%2Cdisplay_title%2Cdisclosure_date%2Ctxturl%2Cpdfurl%2Clang%2Cprojectid,2026-09-15T22:08:12Z,198,39caa0cfd9e9f58025db4688ca7b0f082e15feed5a3b5429be9006e6b5528288
cffb989cf7e48bd6,notices,https://search.worldbank.org/api/v2/procnotices,format=json&rows=500&os=0&project_id=P176317,2026-09-15T22:04:50Z,25,b2add519c4c90229351a77c549aa8c135ac0fa517be9d5e6c05c0935f0722815
d22b0266bb83ae05,notices,https://search.worldbank.org/api/v2/procnotices,format=json&rows=500&os=0&project_id=P180059,2026-09-15T22:05:25Z,66,066f73cc5382a766b534f54ff0f78ef18007228b2a15ef985b87dce5bcc5160b
d3464c7ad0d62472,notices,https://search.worldbank.org/api/v2/procnotices,format=json&rows=500&os=0&project_id=P172524,2026-09-15T22:04:42Z,77,cd3865c9ed432b423b477bc7127239e1e42ca407e0b8dc4dda8277041b067d4f
d3affed91be8204a,documents,https://search.worldbank.org/api/v3/wds,format=json&rows=200&projectid=P162599&docty=Procurement+Plan&fl=id%2Cdocty%2Cdisplay_title%2Cdisclosure_date%2Ctxturl%2Cpdfurl%2Clang%2Cprojectid,2026-09-15T22:07:52Z,48,a1b70a7a1e19827666edfaf16da503899388e8e2a863d7b451c77996e155f78b
d407cca1c1744413,awards,https://search.worldbank.org/api/contractdata,format=json&rows=500&os=0&projectid=P508948,2026-09-15T22:06:11Z,0,21fdc86d1384a15f9c683827dc684cacaaa8a916f4a41fbe7a7d5ccc24377f64
d5ea38c997e14b13,documents,https://search.worldbank.org/api/v3/wds,format=json&rows=200&projectid=P508383&docty=Procurement+Plan&fl=id%2Cdocty%2Cdisplay_title%2Cdisclosure_date%2Ctxturl%2Cpdfurl%2Clang%2Cprojectid,2026-09-15T22:08:28Z,15,610e5a1cb3c13f6e95dba6353ee3228cdcd0e70e7af700c17e68ded0dee1f205
d61989bf1740c39d,awards,https://search.worldbank.org/api/contractdata,format=json&rows=500&os=0&projectid=P178609,2026-09-15T22:06:01Z,12,af35d5fab5dbd918b820943f3b8f7c292391d168a3edb9434e615bbede19a7da
d718495b0909804a,notices,https://search.worldbank.org/api/v2/procnotices,format=json&rows=500&os=0&project_id=P173373,2026-09-15T22:04:44Z,126,5e9575d971ee6ec41ee7557d74f19ca2809444076fef256c04d2bae85624772e
dc339562550317d4,notices,https://search.worldbank.org/api/v2/procnotices,format=json&rows=500&os=0&project_id=P506611,2026-09-15T22:05:33Z,53,e920aafd4e5217792d2361e02a34099d81d778889e5c4313bb17f7675c1d1e82
dc3dd5d8629b754c,documents,https://search.worldbank.org/api/v3/wds,format=json&rows=200&projectid=P167543&docty=Procurement+Plan&fl=id%2Cdocty%2Cdisplay_title%2Cdisclosure_date%2Ctxturl%2Cpdfurl%2Clang%2Cprojectid,2026-09-15T22:07:54Z,93,6a43c856ec573f17f6c0dd66fb9949a54588d4ad1cdaeaf971e19616a7a2db04
df06c11b6ee747ef,documents,https://search.worldbank.org/api/v3/wds,format=json&rows=200&projectid=P502532&docty=Procurement+Plan&fl=id%2Cdocty%2Cdisplay_title%2Cdisclosure_date%2Ctxturl%2Cpdfurl%2Clang%2Cprojectid,2026-09-15T22:08:24Z,10,3c131dd67a06ebdebc28958b7cce4dc9a53235542f3804156b1535962b295388
e0d1a7af6984b5b8,awards,https://search.worldbank.org/api/contractdata,format=json&rows=500&os=0&projectid=P500570,2026-09-15T22:06:07Z,0,21fdc86d1384a15f9c683827dc684cacaaa8a916f4a41fbe7a7d5ccc24377f64
e3d52352b8d9c1ff,awards,https://search.worldbank.org/api/contractdata,format=json&rows=500&os=0&projectid=P176631,2026-09-15T22:05:57Z,45,18fe4ad29ed2c5cee7c3081ff2fa52363d1332325d0c8dd60c4d43ea4aada019
e43951a8d96f7f0d,awards,https://search.worldbank.org/api/contractdata,format=json&rows=500&os=0&projectid=P505095,2026-09-15T22:06:08Z,95,b1a35c4f33c7ef48a99aaa93cda969856549e61d7ca2cab2365f2e046ae3fdac
