community_id,size,n_paragraphs,n_documents,n_projects,project_spread,asset_top,asset_spread,commitment_share,junk_section_share,top_section,template_score,hazard_proximity,mean_cos_to_centroid,nearest_reference_id,nearest_reference_cos,verdict,verdict_reason,run_id,discovery_version
c0069,49,49,35,34,0.4857,dpi,0.7054,0.0,0.5306,Implementation Arrangements and Support Plan,0.157,0.4,0.6547,REF086,0.4181,shortlist,,20260918T0110-7dd1a33,discover-1
c0015,48,48,34,32,0.4571,access_connectivity,0.8676,0.0,0.4167,KEY RISKS,0.1378,0.5167,0.5918,REF038,0.4574,shortlist,,20260918T0110-7dd1a33,discover-1
c0084,48,44,29,28,0.4,access_connectivity,0.8933,0.0,0.1042,Sectoral and Institutional Context,0.1354,0.2673,0.6817,REF061,0.5111,shortlist,,20260918T0110-7dd1a33,discover-1
c0091,46,44,34,35,0.5,,0.0,0.0435,0.9565,Fiduciary,0.1694,0.324,0.7275,REF085,0.4337,junk,junk_section_share>=0.6,20260918T0110-7dd1a33,discover-1
c0101,46,45,29,31,0.4429,dpi,0.7911,0.087,0.0435,Relevance to Higher Level Objectives,0.1363,0.2465,0.6861,REF056,0.5458,shortlist,,20260918T0110-7dd1a33,discover-1
c0046,45,45,29,28,0.4,access_connectivity,0.4799,0.1333,0.0667,Project Components,0.1438,0.2985,0.7241,REF046,0.5602,shortlist,,20260918T0110-7dd1a33,discover-1
c0011,44,44,36,29,0.4143,access_connectivity,0.9528,0.0,0.2727,PROPOSED CHANGES,0.1482,0.3572,0.6012,REF036,0.3639,shortlist,,20260918T0110-7dd1a33,discover-1
c0016,44,42,25,28,0.4,access_connectivity,0.5878,0.0,0.2273,Sectoral and Institutional Context,0.1079,0.3859,0.6299,REF045,0.3574,shortlist,,20260918T0110-7dd1a33,discover-1
c0062,44,44,32,29,0.4143,access_connectivity,0.8146,0.0455,0.1364,Project Components,0.1615,0.3281,0.737,REF030,0.3416,shortlist,,20260918T0110-7dd1a33,discover-1
c0059,43,42,30,20,0.2857,access_connectivity,0.8113,0.0465,0.4419,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,0.1458,0.3471,0.7095,REF045,0.3359,shortlist,,20260918T0110-7dd1a33,discover-1
c0089,43,43,30,27,0.3857,dpi,0.8249,0.0,0.2558,Sectoral and Institutional Context,0.1139,0.3084,0.5543,REF030,0.291,shortlist,,20260918T0110-7dd1a33,discover-1
c0060,41,40,29,30,0.4286,access_connectivity,0.7219,0.1707,0.6098,Implementation Arrangements and Support Plan,0.1321,0.3137,0.6649,REF030,0.4069,junk,junk_section_share>=0.6,20260918T0110-7dd1a33,discover-1
c0042,40,40,33,33,0.4714,dpi,0.7979,0.0,0.175,Project Components,0.1522,0.3821,0.6734,REF043,0.5062,shortlist,,20260918T0110-7dd1a33,discover-1
c0014,39,38,19,18,0.2571,drm_ews,0.793,0.0,0.1026,World Bank Group Response to COVID-19 in Ethiopia,0.0849,0.4329,0.6527,REF054,0.4755,shortlist,,20260918T0110-7dd1a33,discover-1
c0080,39,39,28,24,0.3429,access_connectivity,0.865,0.0,0.4615,Implementation Arrangements and Support Plan,0.1348,0.3381,0.7029,REF027,0.2503,shortlist,,20260918T0110-7dd1a33,discover-1
c0010,38,37,27,22,0.3143,access_connectivity,0.8031,0.0,0.3421,Implementation Arrangements and Support Plan,0.0998,0.3729,0.5397,REF031,0.3782,shortlist,,20260918T0110-7dd1a33,discover-1
c0021,38,36,26,29,0.4143,access_connectivity,1.0,0.1053,0.5789,Results Monitoring and Evaluation Arrangements,0.1211,0.3439,0.68,REF021,0.4603,shortlist,,20260918T0110-7dd1a33,discover-1
c0048,38,36,29,28,0.4,,0.0,0.0789,1.0,Implementation Arrangements and Support Plan,0.1596,0.3541,0.8033,REF045,0.4573,junk,junk_section_share>=0.6,20260918T0110-7dd1a33,discover-1
c0094,38,36,28,25,0.3571,dpi,0.9183,0.0789,0.9474,Implementation Arrangements and Support Plan,0.1301,0.268,0.6786,REF085,0.3856,junk,junk_section_share>=0.6,20260918T0110-7dd1a33,discover-1
c0022,37,36,28,23,0.3286,access_connectivity,0.7196,0.0,0.4865,Implementation Arrangements and Support Plan,0.1175,0.4306,0.6129,REF030,0.4193,shortlist,,20260918T0110-7dd1a33,discover-1
c0009,36,33,22,24,0.3429,dpi,0.825,0.0,0.3333,Project Components,0.0876,0.4117,0.5814,REF007,0.4402,shortlist,,20260918T0110-7dd1a33,discover-1
c0056,36,36,32,31,0.4429,access_connectivity,0.8175,0.2222,0.2222,Project Components,0.1589,0.3026,0.7251,REF030,0.3501,shortlist,,20260918T0110-7dd1a33,discover-1
c0066,35,35,26,28,0.4,access_connectivity,0.9122,0.0,0.4857,Implementation Arrangements and Support Plan,0.108,0.4004,0.6064,REF030,0.3796,shortlist,,20260918T0110-7dd1a33,discover-1
c0088,35,35,25,25,0.3571,dpi,0.0,0.0,0.9714,Implementation Arrangements and Support Plan,0.1149,0.2784,0.6709,REF085,0.3614,junk,junk_section_share>=0.6,20260918T0110-7dd1a33,discover-1
c0001,34,34,27,24,0.3429,access_connectivity,0.8697,0.0,0.2941,Project Components,0.1679,0.2504,0.9077,REF057,0.1554,shortlist,,20260918T0110-7dd1a33,discover-1
c0067,33,33,28,28,0.4,dpi,0.7374,0.0,0.3636,Lessons Learned and Reflected in the Project Design,0.1151,0.3675,0.6002,REF059,0.3329,shortlist,,20260918T0110-7dd1a33,discover-1
c0097,32,32,26,24,0.3429,access_connectivity,0.7919,0.0,0.1875,Project Components,0.0944,0.416,0.5301,REF023,0.2448,shortlist,,20260918T0110-7dd1a33,discover-1
