community_id,size,n_paragraphs,n_documents,n_projects,project_spread,asset_top,asset_spread,commitment_share,junk_section_share,top_section,template_score,hazard_proximity,mean_cos_to_centroid,nearest_reference_id,nearest_reference_cos,verdict,verdict_reason,run_id,discovery_version
c0336,746,392,106,65,0.9286,access_connectivity,0.575,0.063,0.685,Environmental and Social,0.49,0.4631,0.6749,REF045,0.4857,junk,junk_section_share>=0.6,20260918T0133-7dd1a33,discover-1
c1878,739,565,88,61,0.8714,access_connectivity,0.6788,0.0487,0.1191,Project Components,0.4261,0.2443,0.7069,REF059,0.5017,shortlist,,20260918T0133-7dd1a33,discover-1
c1403,477,251,45,37,0.5286,drm_ews,0.3505,0.0314,0.2432,Project Components,0.1843,0.4485,0.598,REF044,0.5319,shortlist,,20260918T0133-7dd1a33,discover-1
c1469,474,174,70,61,0.8714,drm_ews,0.5282,0.0,0.0274,Country Context,0.3031,0.7014,0.6322,REF041,0.5418,shortlist,,20260918T0133-7dd1a33,discover-1
c1327,406,245,69,54,0.7714,cybersecurity,0.6911,0.0246,0.2808,Sectoral and Institutional Context,0.3087,0.3198,0.6531,REF063,0.6039,shortlist,,20260918T0133-7dd1a33,discover-1
c1766,383,193,14,11,0.1571,dpi,0.3286,0.0653,0.1775,Technical Design and Component Descriptions,0.0637,0.2442,0.6638,REF005,0.4477,shortlist,,20260918T0133-7dd1a33,discover-1
c1040,376,311,70,59,0.8429,access_connectivity,0.6032,0.0186,0.1303,Project Components,0.335,0.3286,0.6988,REF045,0.4178,shortlist,,20260918T0133-7dd1a33,discover-1
c1856,367,159,62,56,0.8,access_connectivity,0.665,0.0027,0.0518,Sectoral and Institutional Context,0.2935,0.1812,0.6912,REF011,0.4856,shortlist,,20260918T0133-7dd1a33,discover-1
c1858,346,248,66,61,0.8714,access_connectivity,0.6266,0.0838,0.1272,Project Components,0.3317,0.2306,0.7339,REF011,0.6038,shortlist,,20260918T0133-7dd1a33,discover-1
c1362,300,207,74,56,0.8,cybersecurity,0.5323,0.0133,0.12,Project Components,0.3455,0.4139,0.6816,REF047,0.7113,shortlist,,20260918T0133-7dd1a33,discover-1
c0222,290,282,82,57,0.8143,dpi,0.7271,0.0034,0.0828,Project Components,0.4422,0.2466,0.7874,REF056,0.4831,shortlist,,20260918T0133-7dd1a33,discover-1
c1723,274,162,64,55,0.7857,dpi,0.4416,0.2628,0.9124,Implementation Arrangements and Support Plan,0.285,0.281,0.65,REF085,0.4933,junk,junk_section_share>=0.6,20260918T0133-7dd1a33,discover-1
c0941,255,163,46,37,0.5286,access_connectivity,0.8955,0.0353,0.0902,Project Components,0.2047,0.3236,0.6498,REF067,0.4714,shortlist,,20260918T0133-7dd1a33,discover-1
c1975,247,237,63,52,0.7429,access_connectivity,0.4981,0.0081,0.1215,Project Components,0.3224,0.2955,0.7471,REF046,0.6075,shortlist,,20260918T0133-7dd1a33,discover-1
c0912,244,142,27,22,0.3143,drm_ews,0.7534,0.0492,0.0943,Project Components,0.1165,0.3761,0.6301,REF056,0.5983,shortlist,,20260918T0133-7dd1a33,discover-1
c1122,244,194,72,59,0.8429,cybersecurity,0.8551,0.0492,0.2828,Project Components,0.3241,0.3157,0.6572,REF059,0.3783,shortlist,,20260918T0133-7dd1a33,discover-1
c1744,238,125,52,52,0.7429,access_connectivity,0.7572,0.0,0.0462,Sectoral and Institutional Context,0.2264,0.2228,0.6358,REF011,0.3968,shortlist,,20260918T0133-7dd1a33,discover-1
c0400,233,212,77,48,0.6857,dpi,0.6216,0.2232,0.1545,Project Components,0.3951,0.2629,0.7491,REF079,0.5321,shortlist,,20260918T0133-7dd1a33,discover-1
c0704,222,184,65,43,0.6143,access_connectivity,0.6693,0.0631,0.5,DESCRIPTION OF PROPOSED CHANGES,0.308,0.3359,0.6918,REF036,0.3555,shortlist,,20260918T0133-7dd1a33,discover-1
c1731,216,132,51,48,0.6857,access_connectivity,0.6726,0.0231,0.0093,Economic and Financial Analysis,0.2499,0.2368,0.7155,REF046,0.4658,shortlist,,20260918T0133-7dd1a33,discover-1
c1787,214,125,30,26,0.3714,dpi,0.5352,0.0047,0.0981,Technical Design and Component Descriptions,0.1307,0.265,0.6361,REF068,0.5425,shortlist,,20260918T0133-7dd1a33,discover-1
c1204,210,199,93,54,0.7714,access_connectivity,0.7479,0.0048,0.419,Project Components,0.4404,0.318,0.6913,REF030,0.2697,shortlist,,20260918T0133-7dd1a33,discover-1
c0639,200,167,69,55,0.7857,dpi,0.8017,0.0,0.385,Sectoral and Institutional Context,0.2871,0.4016,0.6075,REF030,0.3641,shortlist,,20260918T0133-7dd1a33,discover-1
c1395,198,95,15,12,0.1714,dpi,0.3508,0.0202,0.2273,Technical Design and Component Descriptions,0.0674,0.281,0.6561,REF069,0.4528,shortlist,,20260918T0133-7dd1a33,discover-1
c1942,194,134,55,41,0.5857,access_connectivity,0.6114,0.0,0.1495,Sectoral and Institutional Context,0.2508,0.2672,0.6657,REF043,0.6262,shortlist,,20260918T0133-7dd1a33,discover-1
c1649,189,139,66,64,0.9143,access_connectivity,0.7157,0.0212,0.1693,Rationale for Bank Involvement and Role of Partners,0.3158,0.3124,0.6987,REF085,0.401,shortlist,,20260918T0133-7dd1a33,discover-1
c1437,184,143,59,56,0.8,access_connectivity,0.785,0.0054,0.7772,Implementation Arrangements and Support Plan,0.2846,0.2782,0.7041,REF045,0.4366,junk,junk_section_share>=0.6,20260918T0133-7dd1a33,discover-1
c1622,182,166,73,53,0.7571,access_connectivity,0.812,0.0,0.2143,Project Components,0.3534,0.3015,0.7068,REF005,0.2926,shortlist,,20260918T0133-7dd1a33,discover-1
c1781,179,139,46,39,0.5571,access_connectivity,0.5996,0.0,0.1117,Project Components,0.1717,0.3872,0.5448,REF072,0.3585,shortlist,,20260918T0133-7dd1a33,discover-1
c1783,179,141,32,27,0.3857,dpi,0.3179,0.0279,0.1955,Sectoral and Institutional Context,0.1519,0.2858,0.6929,REF068,0.5568,shortlist,,20260918T0133-7dd1a33,discover-1
c0401,177,162,50,43,0.6143,access_connectivity,0.3932,0.2429,0.0565,Project Components,0.2547,0.2932,0.7439,REF046,0.5681,shortlist,,20260918T0133-7dd1a33,discover-1
c0968,175,119,67,46,0.6571,access_connectivity,0.7632,0.2171,0.4686,Environmental and Social,0.3347,0.3354,0.7294,REF030,0.4479,shortlist,,20260918T0133-7dd1a33,discover-1
c1758,175,100,22,24,0.3429,dpi,0.2567,0.0,0.1371,Sectoral and Institutional Context,0.0932,0.2451,0.6186,REF068,0.6052,shortlist,,20260918T0133-7dd1a33,discover-1
c1799,174,154,49,38,0.5429,dpi,0.4952,0.023,0.1667,Project Components,0.2447,0.2404,0.7291,REF068,0.5846,shortlist,,20260918T0133-7dd1a33,discover-1
c1926,171,159,66,52,0.7429,dpi,0.7909,0.0117,0.152,Sectoral and Institutional Context,0.346,0.2802,0.7653,REF067,0.5167,shortlist,,20260918T0133-7dd1a33,discover-1
c1020,168,160,66,54,0.7714,dpi,0.7381,0.0238,0.4167,Project Components,0.3068,0.3794,0.6786,REF053,0.5025,shortlist,,20260918T0133-7dd1a33,discover-1
c1679,168,120,66,57,0.8143,data_hosting,0.9591,0.1786,0.9524,Implementation Arrangements and Support Plan,0.3108,0.2386,0.6875,REF005,0.4073,junk,junk_section_share>=0.6,20260918T0133-7dd1a33,discover-1
c0663,164,113,21,17,0.2429,data_hosting,0.8116,0.0244,0.2256,Project Components,0.097,0.2828,0.6746,REF067,0.4343,shortlist,,20260918T0133-7dd1a33,discover-1
c1986,163,157,63,47,0.6714,dpi,0.6873,0.0245,0.3252,Project Components,0.3299,0.2565,0.7645,REF051,0.5379,shortlist,,20260918T0133-7dd1a33,discover-1
c1146,158,154,68,58,0.8286,cybersecurity,0.8917,0.0,0.2532,Project Components,0.3542,0.3947,0.7604,REF036,0.4205,shortlist,,20260918T0133-7dd1a33,discover-1
c1251,157,136,52,44,0.6286,cybersecurity,0.4017,0.0127,0.0764,Project Components,0.256,0.3721,0.7186,REF047,0.6339,shortlist,,20260918T0133-7dd1a33,discover-1
c1494,154,133,58,42,0.6,dpi,0.8102,0.3701,0.8377,Institutional and Implementation Arrangements,0.2751,0.285,0.6925,REF086,0.4108,junk,junk_section_share>=0.6,20260918T0133-7dd1a33,discover-1
c1194,152,139,76,45,0.6429,dpi,0.778,0.0132,0.3882,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,0.3571,0.329,0.686,REF036,0.2987,shortlist,,20260918T0133-7dd1a33,discover-1
c0343,147,144,60,56,0.8,cybersecurity,0.8608,0.0,0.4898,KEY RISKS,0.3068,0.5248,0.7465,REF030,0.514,shortlist,,20260918T0133-7dd1a33,discover-1
c0886,138,96,48,44,0.6286,drm_ews,0.7997,0.0072,0.029,Sectoral and Institutional Context,0.2284,0.7071,0.6947,REF041,0.6737,shortlist,,20260918T0133-7dd1a33,discover-1
c1144,137,109,41,28,0.4,dpi,0.4654,0.0073,0.1606,Project Components,0.1956,0.2536,0.6967,REF068,0.5318,shortlist,,20260918T0133-7dd1a33,discover-1
