community_id,size,top_section,junk_section_share,n_projects,verdict_reason,run_id
c0013,33,Fiduciary,1.0,22,junk_section_share>=0.6,20260918T0133-7dd1a33
c0029,10,Sectoral and Institutional Context,0.6,6,junk_section_share>=0.6,20260918T0133-7dd1a33
c0030,38,RESULTS FRAMEWORK AND MONITORING,0.9474,39,junk_section_share>=0.6,20260918T0133-7dd1a33
c0046,54,RESULTS FRAMEWORK AND MONITORING,0.7407,45,junk_section_share>=0.6,20260918T0133-7dd1a33
c0048,16,7],0.0625,2,n_projects<3,20260918T0133-7dd1a33
c0051,41,RESULTS FRAMEWORK AND MONITORING,1.0,39,junk_section_share>=0.6,20260918T0133-7dd1a33
c0078,41,RESULTS FRAMEWORK AND MONITORING,1.0,37,junk_section_share>=0.6,20260918T0133-7dd1a33
c0081,17,Implementation Arrangements and Support Plan,0.8824,12,junk_section_share>=0.6,20260918T0133-7dd1a33
c0082,36,Implementation Arrangements and Support Plan,0.7222,18,junk_section_share>=0.6,20260918T0133-7dd1a33
c0086,16,Implementation Arrangements and Support Plan,0.875,12,junk_section_share>=0.6,20260918T0133-7dd1a33
c0094,11,RESULTS FRAMEWORK AND MONITORING,0.9091,7,junk_section_share>=0.6,20260918T0133-7dd1a33
c0095,18,Implementation Arrangements and Support Plan,0.9444,16,junk_section_share>=0.6,20260918T0133-7dd1a33
c0096,14,DETAILED CHANGE(S),0.0714,2,n_projects<3,20260918T0133-7dd1a33
c0097,45,Fiduciary,0.9778,30,junk_section_share>=0.6,20260918T0133-7dd1a33
c0099,54,Fiduciary,0.9815,39,junk_section_share>=0.6,20260918T0133-7dd1a33
c0100,10,DETAILED CHANGE(S),0.0,1,n_projects<3,20260918T0133-7dd1a33
c0101,14,DETAILED CHANGE(S),0.2143,2,n_projects<3,20260918T0133-7dd1a33
c0102,18,Implementation Arrangements and Support Plan,0.8333,13,junk_section_share>=0.6,20260918T0133-7dd1a33
c0104,27,Implementation Arrangements and Support Plan,0.6667,19,junk_section_share>=0.6,20260918T0133-7dd1a33
c0106,11,Implementation Arrangements and Support Plan,1.0,8,junk_section_share>=0.6,20260918T0133-7dd1a33
c0108,17,Implementation Arrangements and Support Plan,1.0,13,junk_section_share>=0.6,20260918T0133-7dd1a33
c0109,16,Implementation Arrangements and Support Plan,0.9375,1,junk_section_share>=0.6;n_projects<3,20260918T0133-7dd1a33
c0120,31,Implementation Arrangements and Support Plan,0.8065,21,junk_section_share>=0.6,20260918T0133-7dd1a33
c0121,18,DESCRIPTION OF PROPOSED CHANGES,0.3333,2,n_projects<3,20260918T0133-7dd1a33
c0123,22,Implementation Arrangements and Support Plan,0.8182,23,junk_section_share>=0.6,20260918T0133-7dd1a33
c0128,18,Results Monitoring and Evaluation Arrangements,0.8889,13,junk_section_share>=0.6,20260918T0133-7dd1a33
c0137,12,Results Monitoring and Evaluation Arrangements,1.0,11,junk_section_share>=0.6,20260918T0133-7dd1a33
c0138,36,KEY RISKS,1.0,25,junk_section_share>=0.6,20260918T0133-7dd1a33
c0141,15,Results Monitoring and Evaluation Arrangements,0.6,15,junk_section_share>=0.6,20260918T0133-7dd1a33
