community_id,size,top_section,junk_section_share,n_projects,verdict_reason,run_id
c0298,60,KEY RISKS,1.0,32,junk_section_share>=0.6,20260918T0135-7dd1a33
c0300,105,Implementation Arrangements and Support Plan,0.9714,47,junk_section_share>=0.6,20260918T0135-7dd1a33
c0301,265,Implementation Arrangements and Support Plan,0.9585,66,junk_section_share>=0.6,20260918T0135-7dd1a33
c0307,68,Implementation Arrangements and Support Plan,0.6912,25,junk_section_share>=0.6,20260918T0135-7dd1a33
c0308,190,Institutional and Implementation Arrangements,0.6579,48,junk_section_share>=0.6,20260918T0135-7dd1a33
c0313,279,Fiduciary,0.9427,62,junk_section_share>=0.6,20260918T0135-7dd1a33
c0315,96,Implementation Arrangements and Support Plan,0.8021,36,junk_section_share>=0.6,20260918T0135-7dd1a33
c0316,105,Implementation Arrangements and Support Plan,0.981,51,junk_section_share>=0.6,20260918T0135-7dd1a33
c0317,81,Implementation Arrangements and Support Plan,0.9753,38,junk_section_share>=0.6,20260918T0135-7dd1a33
c0319,212,Implementation Arrangements and Support Plan,0.9575,53,junk_section_share>=0.6,20260918T0135-7dd1a33
c0320,58,Implementation Arrangements and Support Plan,0.9828,30,junk_section_share>=0.6,20260918T0135-7dd1a33
c0323,233,Implementation Arrangements and Support Plan,0.9185,61,junk_section_share>=0.6,20260918T0135-7dd1a33
c0324,54,Implementation Arrangements and Support Plan,1.0,37,junk_section_share>=0.6,20260918T0135-7dd1a33
c0325,343,Implementation Arrangements and Support Plan,0.9504,62,junk_section_share>=0.6,20260918T0135-7dd1a33
c0326,153,Implementation Arrangements and Support Plan,0.8627,55,junk_section_share>=0.6,20260918T0135-7dd1a33
c0327,109,Implementation Arrangements and Support Plan,0.9541,47,junk_section_share>=0.6,20260918T0135-7dd1a33
c0328,66,Implementation Arrangements and Support Plan,0.9545,36,junk_section_share>=0.6,20260918T0135-7dd1a33
c0331,61,Implementation Arrangements and Support Plan,0.9344,34,junk_section_share>=0.6,20260918T0135-7dd1a33
c0334,117,Implementation Arrangements and Support Plan,0.9744,56,junk_section_share>=0.6,20260918T0135-7dd1a33
c0335,78,Implementation Arrangements and Support Plan,1.0,48,junk_section_share>=0.6,20260918T0135-7dd1a33
c0336,290,Implementation Arrangements and Support Plan,0.9276,65,junk_section_share>=0.6,20260918T0135-7dd1a33
c0337,164,Implementation Arrangements and Support Plan,0.811,52,junk_section_share>=0.6,20260918T0135-7dd1a33
c0338,274,Implementation Arrangements and Support Plan,0.9124,55,junk_section_share>=0.6,20260918T0135-7dd1a33
c0339,84,Implementation Arrangements and Support Plan,1.0,44,junk_section_share>=0.6,20260918T0135-7dd1a33
c0340,209,Fiduciary,0.9665,67,junk_section_share>=0.6,20260918T0135-7dd1a33
c0342,169,Implementation Arrangements and Support Plan,0.9112,53,junk_section_share>=0.6,20260918T0135-7dd1a33
c0344,132,Implementation Arrangements and Support Plan,0.9242,47,junk_section_share>=0.6,20260918T0135-7dd1a33
c0345,66,Implementation Arrangements and Support Plan,0.9697,31,junk_section_share>=0.6,20260918T0135-7dd1a33
c0346,137,Implementation Arrangements and Support Plan,0.9927,47,junk_section_share>=0.6,20260918T0135-7dd1a33
c0349,437,Implementation Arrangements and Support Plan,0.9314,62,junk_section_share>=0.6,20260918T0135-7dd1a33
c0350,55,Implementation Arrangements and Support Plan,0.6364,34,junk_section_share>=0.6,20260918T0135-7dd1a33
