community_id,size,n_paragraphs,n_documents,n_projects,project_spread,asset_top,asset_spread,commitment_share,junk_section_share,top_section,template_score,hazard_proximity,mean_cos_to_centroid,nearest_reference_id,nearest_reference_cos,verdict,verdict_reason,run_id,discovery_version
c0267,393,301,69,62,0.8857,drm_ews,0.6859,0.084,0.0636,Project Components,0.3399,0.5807,0.7193,REF041,0.7449,shortlist,,20260918T0135-7dd1a33,discover-1
c0332,382,169,60,58,0.8286,access_connectivity,0.7914,0.0,0.0314,Country Context,0.2544,0.2284,0.619,REF011,0.4183,shortlist,,20260918T0135-7dd1a33,discover-1
c0387,379,347,85,65,0.9286,dpi,0.7252,0.0026,0.1715,Project Components,0.4048,0.3272,0.6954,REF042,0.5182,shortlist,,20260918T0135-7dd1a33,discover-1
c0373,367,159,62,56,0.8,access_connectivity,0.665,0.0027,0.0518,Sectoral and Institutional Context,0.2935,0.1812,0.6912,REF011,0.4856,shortlist,,20260918T0135-7dd1a33,discover-1
c0306,358,304,100,64,0.9143,access_connectivity,0.8339,0.0112,0.243,Project Components,0.47,0.3102,0.6862,REF005,0.3183,shortlist,,20260918T0135-7dd1a33,discover-1
c0227,352,326,110,58,0.8286,dpi,0.7738,0.0028,0.4091,Project Components,0.5114,0.3283,0.6788,REF030,0.2872,shortlist,,20260918T0135-7dd1a33,discover-1
c0198,349,294,82,62,0.8857,cybersecurity,0.6905,0.0,0.2865,Project Components,0.3633,0.3675,0.6469,REF043,0.4748,shortlist,,20260918T0135-7dd1a33,discover-1
c0325,343,175,73,62,0.8857,dpi,0.9202,0.1166,0.9504,Implementation Arrangements and Support Plan,0.3134,0.2742,0.6268,REF005,0.4198,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0213,319,254,78,59,0.8429,dpi,0.7483,0.0094,0.0815,Project Components,0.3453,0.3703,0.6463,REF064,0.6776,shortlist,,20260918T0135-7dd1a33,discover-1
c0183,316,191,56,44,0.6286,dpi,0.7385,0.0285,0.0823,Project Components,0.245,0.3276,0.6389,REF067,0.4731,shortlist,,20260918T0135-7dd1a33,discover-1
c0258,314,288,71,67,0.9571,access_connectivity,0.656,0.2803,0.535,Lessons Learned and Reflected in the Project Design,0.3277,0.3699,0.6739,REF030,0.3876,shortlist,,20260918T0135-7dd1a33,discover-1
c0362,313,200,54,45,0.6429,drm_ews,0.8509,0.0,0.2492,Country Context,0.2298,0.4313,0.6214,REF054,0.3871,shortlist,,20260918T0135-7dd1a33,discover-1
c0364,311,146,65,64,0.9143,dpi,0.864,0.0032,0.0514,Country Context,0.2795,0.2822,0.6279,REF005,0.3007,shortlist,,20260918T0135-7dd1a33,discover-1
c0104,290,247,71,65,0.9286,dpi,0.8049,0.0,0.0379,"Technical, Economic and Financial Analysis",0.3206,0.353,0.6593,REF006,0.3566,shortlist,,20260918T0135-7dd1a33,discover-1
c0336,290,216,84,65,0.9286,dpi,0.9284,0.1345,0.9276,Implementation Arrangements and Support Plan,0.408,0.2685,0.7092,REF045,0.4361,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0214,287,271,82,65,0.9286,cybersecurity,0.8318,0.0627,0.2718,Project Components,0.4097,0.3882,0.7295,REF036,0.4228,shortlist,,20260918T0135-7dd1a33,discover-1
c0160,280,259,69,60,0.8571,dpi,0.7428,0.2821,0.1321,Project Components,0.3317,0.3256,0.7018,REF079,0.4157,shortlist,,20260918T0135-7dd1a33,discover-1
c0210,280,187,63,54,0.7714,data_hosting,0.5634,0.0214,0.0857,Project Components,0.2673,0.4278,0.6195,REF036,0.6111,shortlist,,20260918T0135-7dd1a33,discover-1
c0207,279,239,74,63,0.9,dpi,0.8193,0.0,0.0502,Relevance to Higher Level Objectives,0.3445,0.3712,0.6797,REF046,0.3656,shortlist,,20260918T0135-7dd1a33,discover-1
c0313,279,181,76,62,0.8857,access_connectivity,0.0,0.0287,0.9427,Fiduciary,0.383,0.3227,0.7357,REF085,0.4342,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0312,276,234,69,64,0.9143,drm_ews,0.6757,0.0072,0.0399,Project Components,0.3429,0.6936,0.7255,REF036,0.6317,shortlist,,20260918T0135-7dd1a33,discover-1
c0338,274,162,64,55,0.7857,dpi,0.4416,0.2628,0.9124,Implementation Arrangements and Support Plan,0.285,0.281,0.65,REF085,0.4933,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0079,271,252,78,67,0.9571,access_connectivity,0.7215,0.0148,0.8044,KEY RISKS,0.3786,0.519,0.7087,REF030,0.4976,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0321,266,199,70,67,0.9571,access_connectivity,0.683,0.0263,0.2143,Rationale for Bank Involvement and Role of Partners,0.3302,0.3231,0.6888,REF085,0.4145,shortlist,,20260918T0135-7dd1a33,discover-1
c0301,265,161,77,66,0.9429,dpi,0.9212,0.0981,0.9585,Implementation Arrangements and Support Plan,0.4103,0.2501,0.7779,REF045,0.4662,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0132,260,213,68,44,0.6286,access_connectivity,0.6701,0.0577,0.4885,DESCRIPTION OF PROPOSED CHANGES,0.3204,0.3359,0.6878,REF036,0.3585,shortlist,,20260918T0135-7dd1a33,discover-1
c0148,257,186,60,53,0.7571,dpi,0.6246,0.0039,0.1829,Sectoral and Institutional Context,0.2761,0.3096,0.6717,REF053,0.4852,shortlist,,20260918T0135-7dd1a33,discover-1
c0288,255,132,64,51,0.7286,access_connectivity,0.9206,0.2,0.9451,Implementation Arrangements and Support Plan,0.2915,0.2604,0.6649,REF085,0.3784,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0187,254,177,73,51,0.7286,access_connectivity,0.772,0.1811,0.4331,Environmental and Social,0.3483,0.3491,0.6966,REF030,0.4641,shortlist,,20260918T0135-7dd1a33,discover-1
c0355,254,209,54,42,0.6,dpi,0.4717,0.0236,0.1535,Project Components,0.2635,0.2433,0.7124,REF068,0.5899,shortlist,,20260918T0135-7dd1a33,discover-1
c0409,253,240,64,52,0.7429,dpi,0.6738,0.0,0.1779,Project Components,0.3442,0.2771,0.7852,REF051,0.5072,shortlist,,20260918T0135-7dd1a33,discover-1
c0169,248,204,54,47,0.6714,dpi,0.6279,0.004,0.2218,Project Components,0.2351,0.3665,0.6357,REF030,0.4673,shortlist,,20260918T0135-7dd1a33,discover-1
c0403,247,237,63,52,0.7429,access_connectivity,0.4981,0.0081,0.1215,Project Components,0.3224,0.2955,0.7471,REF046,0.6075,shortlist,,20260918T0135-7dd1a33,discover-1
c0128,245,231,75,61,0.8714,access_connectivity,0.7813,0.0,0.3306,Implementation Arrangements and Support Plan,0.3018,0.3885,0.5875,REF030,0.3847,shortlist,,20260918T0135-7dd1a33,discover-1
c0179,244,142,27,22,0.3143,drm_ews,0.7534,0.0492,0.0943,Project Components,0.1165,0.3761,0.6301,REF056,0.5983,shortlist,,20260918T0135-7dd1a33,discover-1
c0284,242,220,72,56,0.8,dpi,0.7109,0.0041,0.1074,Project Components,0.3558,0.2816,0.7215,REF086,0.5152,shortlist,,20260918T0135-7dd1a33,discover-1
c0347,241,138,25,25,0.3571,dpi,0.2523,0.0,0.1535,Sectoral and Institutional Context,0.1021,0.261,0.5961,REF068,0.6076,shortlist,,20260918T0135-7dd1a33,discover-1
