representation,cosine_cut,clusters,in_list_cluster_exists,not_in_list_cluster_exists,in_list_no_cluster,in_list_cluster_exists_refs,clauses_in_in_list_clusters,clauses_in_not_in_list_clusters
raw,0.4661,320,142,178,10,79,48644,61482
projected,0.3379,320,98,222,23,66,35178,74948
