clause_id,paragraph_id,doc_id,block,section,section_path,char_start,char_end,text_sha256,split_rule,norm_hash,drop_reason
34357064:p00024:c06:split-1,34357064:p00024,34357064,narrative,SUMMARY OF PROJECT STATUS AND PROPOSED CHANGES,II,1969,2010,e15c2e2b5a6a5a03f6e7d8494f85df09dc88e83121fd03ad06c92d76df9e850e,relative,,duplicate
34357064:p00024:c10:split-1,34357064:p00024,34357064,narrative,SUMMARY OF PROJECT STATUS AND PROPOSED CHANGES,II,2291,2342,2afa78b20ca39e67abf6a341b9b486cb850dd4996610746c6a7a18b2fb8e3833,verb_subtree,,duplicate
34357064:p00025:c04:split-1,34357064:p00025,34357064,narrative,SUMMARY OF PROJECT STATUS AND PROPOSED CHANGES,II,3017,3023,c0cea2dd285281f7893d49fb1f28644d36777194b1c4655dbeb3b49944daa04f,verb_subtree,,duplicate
34357064:p00025:c13:split-1,34357064:p00025,34357064,narrative,SUMMARY OF PROJECT STATUS AND PROPOSED CHANGES,II,3358,3387,6d50a35e6e1b721bd0534d5fd3fa9c3c799f8f0eea8ccd92437bd7a4c216f071,verb_subtree,,duplicate
34357064:p00026:c18:split-1,34357064:p00026,34357064,narrative,SUMMARY OF PROJECT STATUS AND PROPOSED CHANGES,II,4600,4619,ae95c8a3d97c1bfe6731cd82061db425239ef7f5d5db2d10925031e542d93ccc,relative,,duplicate
34357064:p00035:c03:split-1,34357064:p00035,34357064,narrative,SUMMARY OF PROJECT STATUS AND PROPOSED CHANGES,II,10304,10315,c20c10d8b99c32035089939b1378695b64fd19889094cfb314ebf14f0a635b08,coord_conj,,duplicate
34357064:p00036:c01:split-1,34357064:p00036,34357064,narrative,SUMMARY OF PROJECT STATUS AND PROPOSED CHANGES,II,10318,10370,bc9eaa0197a63efe6ad96ba22cc99990083adcbbbf990c8decd725509a581c2a,sentence,,heading
34357064:p00038:c02:split-1,34357064:p00038,34357064,narrative,SUMMARY OF PROJECT STATUS AND PROPOSED CHANGES,II,10499,10502,6201111b83a0cb5b0922cb37cc442b9a40e24e3b1ce100a4bb204f4c63fd2ac0,semicolon,,duplicate
34357064:p00041:c03:split-1,34357064:p00041,34357064,narrative,SUMMARY OF PROJECT STATUS AND PROPOSED CHANGES,II,11149,11190,50b518aaa4fd501b98e2a933088c1bd5747d8ba69a33cd61bf61cc4669359962,verb_subtree,,duplicate
34357064:p00041:c06:split-1,34357064:p00041,34357064,narrative,SUMMARY OF PROJECT STATUS AND PROPOSED CHANGES,II,11328,11329,de7d1b721a1e0632b7cf04edf5032c8ecffa9f9a08492152b926f1a5a7e765d7,subord_conj,,duplicate
34357064:p00041:c10:split-1,34357064:p00041,34357064,narrative,SUMMARY OF PROJECT STATUS AND PROPOSED CHANGES,II,11650,11661,95c9ca75572c714b0a6d987f5cbfc92e9dffa03d9caeb08bcc0b1bd04e8cb5e7,sentence,,duplicate
34357064:p00043:c19:split-1,34357064:p00043,34357064,narrative,SUMMARY OF PROJECT STATUS AND PROPOSED CHANGES,II,13477,13497,8423ff767917450055d6c7ffadcaff48906cd3a8290c430986f33dde63aab88d,sentence,,duplicate
34357064:p00043:c26:split-1,34357064:p00043,34357064,narrative,SUMMARY OF PROJECT STATUS AND PROPOSED CHANGES,II,13820,13830,3cdfa37b13de1454c1f52c13370d75a5c301140c7fc53f8fa98f047502d6ebf9,sentence,,duplicate
34357064:p00043:c30:split-1,34357064:p00043,34357064,narrative,SUMMARY OF PROJECT STATUS AND PROPOSED CHANGES,II,14020,14028,63be856a06e4817df7943a1e197a3c60ee666433ddf971c1158b359af8500798,subord_conj,,duplicate
34357064:p00044:c03:split-1,34357064:p00044,34357064,narrative,SUMMARY OF PROJECT STATUS AND PROPOSED CHANGES,II,14278,14286,54aa7f35d4802240f3467b9d69bcfd3b03b68b4cf80de347a0c14d2650367b59,verb_subtree,,duplicate
